Price,Address,Squares,Rooms,Floor
550 €,"Opština Čukarica, Banovo brdo, Bogoljuba Čukića",47 m2,2.0,VPR/6
700 €,"Opština Voždovac, Vojvode Stepe, Vojvode Stepe",55 m2,2.0,I/6
1.200 €,"Opština Savski venac, Senjak, Sitnička",85 m2,3.0,I/2
850 €,"Opština Zvezdara, Konjarnik, Bojadžinska",93 m2,3.0,IV/4
700 €,"Opština Rakovica, Kanarevo brdo, Vukasovićeva",56 m2,3.0,VPR/3
200 €,"Opština Čukarica, Banovo brdo, Mira Popare",25 m2,0.5,PR
450 €,"Opština Stari grad, Francuska, Francuska",35 m2,0.5,III/6
1.200 €,"Opština Rakovica, Vidikovac, Kneza Višeslava",98 m2,4.0,III
750 €,"Opština Novi Beograd, Fontana, Otona Župančiča",58 m2,3.0,IX/9
250 €,"Opština Zemun, Zemun polje, Marka Milanovića",22 m2,1.0,VPR
550 €,"Opština Voždovac, Medaković padina, Nikole Altomanovića",47 m2,2.0,II/3
2.300 €,"Opština Vračar, Hram svetog Save, CUBURSKA",227 m2,5.0,IV/5
1.200 €,"Opština Savski venac, Kneza Miloša, Kneza Miloša",55 m2,2.0,I/6
